treatment_group,customer_id,transaction
control,1432360,0
control,1432563,0
control,1433045,0
control,1433055,0
control,1433092,0
control,1434748,0
control,1436047,0
control,1436677,0
control,1438563,0
control,1439707,0
control,1440432,0
control,1441713,0
control,1443365,0
control,1443495,0
control,1443676,0
control,1443861,0
control,1444500,0
control,1445293,0
control,1445575,0
control,1446002,0
control,1446892,0
control,1447177,0
control,1447808,0
control,1448168,0
control,1449611,0
control,1452805,0
control,1453394,0
control,1453823,0
control,1453863,0
control,1453888,0
control,1454579,0
control,1455824,0
control,1456051,1
control,1456475,0
control,1456876,0
control,1456941,0
control,1457082,0
control,1457322,0
control,1457405,0
control,1457870,0
control,1459362,0
control,1460410,0
control,1460908,1
control,1460964,0
control,1461200,0
control,1461787,1
control,1462451,0
control,1463287,0
control,1463675,0
control,1463947,0
control,1464991,0
control,1465582,0
control,1466945,0
control,1467340,0
control,1468981,0
control,1469117,0
control,1470247,0
control,1470532,0
control,1470552,0
control,1470724,0
control,1470971,0
control,1471014,0
control,1471516,0
control,1471864,0
control,1472636,0
control,1476416,0
control,1476845,0
control,1477433,0
control,1478898,1
control,1480019,0
control,1480759,0
control,1480820,0
control,1481046,0
control,1481503,0
control,1481785,0
control,1481970,0
control,1482887,0
control,1483132,0
control,1483589,1
control,1483694,0
control,1484145,0
control,1484329,0
control,1484501,0
control,1484821,0
control,1485267,0
control,1485942,0
control,1486050,0
control,1486828,0
control,1486962,0
control,1487632,0
control,1487932,0
control,1488261,0
control,1488969,0
control,1490637,0
control,1490884,0
control,1490969,0
control,1491305,0
control,1491730,0
control,1492089,0
control,1494032,0
control,1494247,0
control,1494364,0
control,1495275,1
control,1495613,0
control,1496209,0
control,1496476,0
control,1497443,0
control,1499785,0
control,1500122,0
control,1500771,0
control,1501147,0
control,1501775,0
control,1502175,0
control,1502634,0
control,1502652,0
control,1502992,0
control,1503955,0
control,1504741,0
control,1505707,0
control,1506717,0
control,1507558,0
control,1507634,0
control,1507972,0
control,1507977,0
control,1508420,0
control,1509648,0
control,1510103,0
control,1512609,0
control,1513150,0
control,1514427,0
control,1514935,0
control,1515095,0
control,1515278,0
control,1516856,0
control,1518351,0
control,1519140,0
control,1519523,0
control,1520006,0
control,1520816,0
control,1521210,0
control,1521547,0
control,1524648,0
control,1524770,0
control,1525975,0
control,1527391,0
control,1527942,0
control,1528195,0
control,1529592,0
control,1531243,0
control,1532193,0
control,1532261,0
control,1532850,0
control,1533041,0
control,1533075,0
control,1534487,0
control,1535370,0
control,1535463,0
control,1535892,0
control,1536179,0
control,1537304,0
control,1537567,0
control,1537834,0
control,1538642,0
control,1539630,0
control,1540057,0
control,1540626,1
control,1543420,0
control,1543619,0
control,1544951,0
control,1545086,1
control,1545943,0
control,1546509,0
control,1546536,0
control,1547272,0
control,1547584,0
control,1548496,0
control,1548513,0
control,1549660,0
control,1549708,0
control,1549997,0
control,1549998,0
control,1556777,0
control,1557018,0
control,1557710,0
control,1558536,0
control,1558851,0
control,1559070,0
control,1559423,0
control,1559937,0
control,1560387,1
control,1560908,0
control,1561169,0
control,1561276,0
control,1561870,0
control,1562107,0
control,1562342,0
control,1565230,0
control,1565712,0
control,1565870,0
control,1568323,0
control,1570053,0
control,1570920,0
control,1571823,0
control,1572176,0
control,1572836,1
control,1574341,0
control,1575466,0
control,1577757,0
control,1578284,0
control,1579012,1
control,1579448,0
control,1579585,0
control,1580687,0
control,1580819,0
control,1580945,0
control,1581229,0
control,1581787,0
control,1581825,0
control,1581949,0
control,1582155,0
control,1582419,0
control,1583738,0
control,1584027,0
control,1584754,0
control,1585824,0
control,1587037,0
control,1587311,0
control,1587646,0
control,1588320,0
control,1589762,0
control,1592668,0
control,1593016,0
control,1594456,0
control,1594828,0
control,1597281,0
control,1598227,0
control,1598396,0
control,1599924,0
control,1600038,0
control,1601790,0
control,1601933,0
control,1602274,0
control,1602771,0
control,1604387,0
control,1605143,0
control,1605354,0
control,1605964,0
control,1606479,0
control,1607082,0
control,1608491,0
control,1608761,0
control,1608898,0
control,1609357,0
control,1609697,0
control,1609969,0
control,1611236,0
control,1611266,0
control,1611753,0
control,1611971,0
control,1612759,0
control,1613443,0
control,1614274,0
control,1615621,0
control,1616958,0
control,1617595,0
control,1618383,0
control,1618771,1
control,1619615,0
control,1620461,0
control,1622999,0
control,1623352,0
control,1624402,0
control,1625529,0
control,1626311,0
control,1627229,0
control,1632815,0
control,1634263,0
control,1634388,0
control,1639201,0
control,1639744,0
control,1640567,0
control,1642200,0
control,1643153,0
control,1643788,0
control,1644000,0
control,1644125,0
control,1644246,0
control,1644393,0
control,1644506,0
control,1648071,0
control,1650121,0
control,1651344,0
control,1651566,0
control,1651839,0
control,1652089,0
control,1656189,0
control,1656208,0
control,1657117,0
control,1657651,0
control,1660912,0
control,1660993,0
control,1664277,0
control,1664448,0
control,1664857,0
control,1665000,0
control,1665222,0
control,1665866,0
control,1667288,0
control,1667453,0
control,1667604,0
control,1667714,0
control,1668966,0
control,1669123,0
control,1669586,0
control,1669851,0
control,1670045,0
control,1670246,0
control,1671904,0
control,1671969,0
control,1674633,0
control,1674893,0
control,1677449,0
control,1679071,0
control,1680447,0
control,1680843,0
control,1682478,0
control,1682526,0
control,1682852,0
control,1684003,0
control,1684747,0
control,1685457,0
control,1685596,0
control,1685677,0
control,1685718,0
control,1685974,0
control,1686146,0
control,1686326,0
control,1686591,0
control,1689344,0
control,1690053,0
control,1690398,0
control,1691020,0
control,1691462,0
control,1691783,0
control,1692373,0
control,1693197,0
control,1693825,0
control,1694683,0
control,1695935,0
control,1695979,0
control,1696808,0
control,1697582,0
control,1697780,0
control,1697949,0
control,1697977,0
control,1698320,0
control,1698465,0
control,1699407,0
control,1700341,0
control,1701937,0
control,1704150,0
control,1704161,0
control,1704296,0
control,1705456,0
control,1706200,0
control,1706766,0
control,1706945,0
control,1707448,0
control,1709006,0
control,1709152,0
control,1710785,0
control,1711658,0
control,1712492,0
control,1713164,0
control,1714415,0
control,1715376,0
control,1715719,0
control,1716575,0
control,1717608,0
control,1718205,0
control,1719750,0
control,1719808,0
control,1720709,0
control,1720711,0
control,1721479,1
control,1721732,0
control,1722199,0
control,1723225,0
control,1723692,0
control,1724276,0
control,1726012,0
control,1726241,0
control,1727708,0
control,1727955,0
control,1728211,1
control,1728532,0
control,1729823,0
control,1730295,0
control,1730980,1
control,1732997,0
control,1734165,0
control,1735715,0
control,1737305,0
control,1741620,0
control,1743722,0
control,1744003,0
control,1744087,0
control,1745224,0
control,1746651,0
control,1746858,0
control,1746926,0
control,1747082,0
control,1747789,0
control,1748494,1
control,1750787,0
control,1750848,0
control,1751489,0
control,1751840,0
control,1752866,0
control,1754472,0
control,1754733,0
control,1755094,0
control,1756023,0
control,1757442,1
control,1758769,0
control,1759080,0
control,1759147,0
control,1761668,0
control,1762114,0
control,1762309,0
control,1763358,0
control,1765045,0
control,1766243,0
control,1766474,0
control,1766573,0
control,1766852,0
control,1767215,0
control,1768106,0
control,1769267,0
control,1770902,0
control,1771249,0
control,1771904,0
control,1772645,0
control,1772808,0
control,1776313,1
control,1777607,1
control,1777664,0
control,1778585,0
control,1778997,0
control,1779111,0
control,1781129,0
control,1781455,0
control,1782394,0
control,1784346,1
control,1785707,0
control,1786955,0
control,1787133,0
control,1787461,0
control,1788328,0
control,1790597,0
control,1791812,0
control,1792138,0
control,1793941,0
control,1794164,0
control,1795387,0
control,1795396,0
control,1795698,0
control,1795912,0
control,1796022,0
control,1797548,0
control,1797778,1
control,1798857,0
control,1802651,0
control,1802980,0
control,1803109,0
control,1803393,0
control,1803688,0
control,1804981,0
control,1805876,0
control,1806005,0
control,1806096,0
control,1806435,0
control,1806800,0
control,1807702,0
control,1808065,0
control,1808666,0
control,1810834,0
control,1811125,0
control,1815421,0
control,1815546,0
control,1815548,0
control,1816019,0
control,1816783,0
control,1817181,0
control,1822043,0
control,1822860,0
control,1823384,0
control,1823605,0
control,1826447,0
control,1828902,0
control,1833114,0
control,1834574,0
control,1836150,0
control,1836205,0
control,1836969,1
control,1838080,0
control,1839224,0
control,1842500,0
control,1842551,0
control,1844188,0
control,1844988,0
control,1846718,1
control,1847735,0
control,1848344,0
control,1848510,0
control,1848579,0
control,1848652,0
control,1848993,0
control,1849500,0
control,1849561,0
control,1849905,0
control,1852662,0
control,1853113,0
control,1853888,0
control,1854444,0
control,1854779,0
control,1855263,0
control,1856286,0
control,1857613,0
control,1857780,0
control,1857861,0
control,1858029,0
control,1860011,0
control,1861329,0
control,1862290,0
control,1864243,0
control,1865313,0
control,1865461,0
control,1865608,0
control,1866944,0
control,1867037,0
control,1868167,0
control,1868913,0
control,1869939,1
control,1870527,0
control,1870680,0
control,1871350,0
control,1872933,0
control,1872972,0
control,1873138,0
control,1873203,0
control,1873906,0
control,1874088,0
control,1874165,0
control,1875187,0
control,1878744,0
control,1879007,0
control,1879863,0
control,1880322,0
control,1880861,0
control,1880948,0
control,1880982,0
control,1881394,0
control,1882198,0
control,1883269,0
control,1885893,0
control,1888236,0
control,1888384,0
control,1888731,0
control,1889117,0
control,1889234,1
control,1890783,0
control,1893620,0
control,1895970,0
control,1896065,0
control,1896154,0
control,1896846,0
control,1897029,0
control,1898778,0
control,1899376,0
control,1899944,0
control,1901396,0
control,1903436,0
control,1904453,0
control,1904874,0
control,1907118,0
control,1908115,1
control,1908323,0
control,1908886,0
control,1909261,0
control,1910034,0
control,1910035,0
control,1910666,0
control,1910966,0
control,1911210,0
control,1911469,0
control,1911916,0
control,1911955,1
control,1912002,0
control,1912912,0
control,1914403,0
control,1916645,0
control,1919384,0
control,1920181,0
control,1923319,0
control,1923913,0
control,1924968,0
control,1926092,0
control,1926571,0
control,1926949,0
control,1928308,0
control,1930136,0
control,1930624,0
control,1931011,0
control,1931943,0
control,1931987,0
control,1931988,0
control,1932206,0
control,1933146,1
control,1933876,0
control,1934174,0
control,1934346,0
control,1935108,1
control,1935457,0
control,1936248,0
control,1937278,0
control,1937995,0
control,1938070,0
control,1939718,0
control,1943203,0
control,1943285,0
control,1943446,0
control,1944067,0
control,1946111,0
control,1946509,0
control,1947231,0
control,1947607,1
control,1947922,0
control,1948835,0
control,1949326,1
control,1949388,0
control,1950447,0
control,1950656,0
control,1950828,0
control,1950946,0
control,1951544,0
control,1951872,0
control,1952027,0
control,1952225,0
control,1952580,0
control,1952602,0
control,1955163,0
control,1955322,0
control,1955508,0
control,1956333,0
control,1957448,0
control,1958782,0
control,1958931,0
control,1959297,0
control,1960068,0
control,1960673,0
control,1961062,1
control,1962742,0
control,1963824,0
control,1963923,0
control,1964324,0
control,1965383,0
control,1965839,0
control,1966769,0
control,1967160,0
control,1967512,1
control,1967905,0
control,1968709,0
control,1968779,0
control,1969875,0
control,1969980,0
control,1970875,0
control,1971489,1
control,1972608,0
control,1972789,0
control,1973498,0
control,1974139,0
control,1974353,0
control,1975997,0
control,1976782,0
control,1977785,0
control,1977942,0
control,1978997,0
control,1980994,0
control,1981339,0
control,1981515,0
control,1982265,0
control,1983180,0
control,1983268,0
control,1984851,0
control,1984924,0
control,1985055,0
control,1985198,0
control,1986376,0
control,1987717,0
control,1987817,0
control,1987848,0
control,1988447,0
control,1988807,0
control,1989523,0
control,1990039,0
control,1991771,0
control,1992291,0
control,1993530,0
control,1993531,0
control,1993962,0
control,1995504,0
control,1996739,0
control,1999232,0
control,1999792,0
treatment 1,1001509,0
treatment 1,1001598,0
treatment 1,1002519,0
treatment 1,1005031,0
treatment 1,1005043,1
treatment 1,1005276,0
treatment 1,1005402,0
treatment 1,1005812,0
treatment 1,1007405,0
treatment 1,1008283,0
treatment 1,1008755,0
treatment 1,1009702,0
treatment 1,1009727,1
treatment 1,1010388,0
treatment 1,1010559,0
treatment 1,1011606,0
treatment 1,1012079,0
treatment 1,1012699,0
treatment 1,1012960,0
treatment 1,1013537,0
treatment 1,1014156,1
treatment 1,1014299,0
treatment 1,1015622,0
treatment 1,1016314,0
treatment 1,1016958,0
treatment 1,1017345,0
treatment 1,1017350,0
treatment 1,1017552,0
treatment 1,1017787,0
treatment 1,1018234,0
treatment 1,1018472,0
treatment 1,1019034,0
treatment 1,1020301,0
treatment 1,1020423,0
treatment 1,1020471,0
treatment 1,1021393,0
treatment 1,1022584,0
treatment 1,1022728,0
treatment 1,1024004,0
treatment 1,1024084,0
treatment 1,1024114,0
treatment 1,1024301,0
treatment 1,1024387,0
treatment 1,1025015,0
treatment 1,1025795,0
treatment 1,1026303,0
treatment 1,1026929,0
treatment 1,1027395,0
treatment 1,1029545,0
treatment 1,1030340,0
treatment 1,1030832,0
treatment 1,1031079,0
treatment 1,1032174,0
treatment 1,1033318,0
treatment 1,1033950,1
treatment 1,1034264,0
treatment 1,1034409,0
treatment 1,1034579,0
treatment 1,1034711,0
treatment 1,1034914,0
treatment 1,1035306,0
treatment 1,1036599,0
treatment 1,1037235,0
treatment 1,1037873,0
treatment 1,1037965,0
treatment 1,1038096,0
treatment 1,1038401,0
treatment 1,1038541,0
treatment 1,1038571,0
treatment 1,1039054,0
treatment 1,1039426,0
treatment 1,1039693,0
treatment 1,1039856,0
treatment 1,1041433,0
treatment 1,1042431,0
treatment 1,1043420,0
treatment 1,1044692,0
treatment 1,1045097,0
treatment 1,1045442,0
treatment 1,1047384,0
treatment 1,1047688,0
treatment 1,1047766,0
treatment 1,1048355,0
treatment 1,1048463,0
treatment 1,1048941,0
treatment 1,1052152,0
treatment 1,1053192,0
treatment 1,1053262,0
treatment 1,1053490,0
treatment 1,1054463,0
treatment 1,1055036,0
treatment 1,1055473,0
treatment 1,1055608,1
treatment 1,1056205,0
treatment 1,1056375,0
treatment 1,1056764,0
treatment 1,1057647,0
treatment 1,1057667,1
treatment 1,1058114,0
treatment 1,1058314,0
treatment 1,1060437,0
treatment 1,1061336,0
treatment 1,1062579,0
treatment 1,1063991,1
treatment 1,1064587,0
treatment 1,1064646,0
treatment 1,1064760,0
treatment 1,1065285,0
treatment 1,1065720,0
treatment 1,1066358,0
treatment 1,1067488,0
treatment 1,1067720,0
treatment 1,1068697,0
treatment 1,1070454,0
treatment 1,1071158,0
treatment 1,1071227,0
treatment 1,1071881,0
treatment 1,1072420,0
treatment 1,1072792,1
treatment 1,1072880,0
treatment 1,1074412,0
treatment 1,1074533,0
treatment 1,1076393,0
treatment 1,1077213,0
treatment 1,1077811,0
treatment 1,1081473,1
treatment 1,1081819,0
treatment 1,1082945,1
treatment 1,1083464,0
treatment 1,1083545,0
treatment 1,1084367,0
treatment 1,1084560,1
treatment 1,1084758,0
treatment 1,1084815,0
treatment 1,1085011,0
treatment 1,1089499,0
treatment 1,1089543,0
treatment 1,1090915,1
treatment 1,1091451,0
treatment 1,1091783,1
treatment 1,1093069,0
treatment 1,1093255,0
treatment 1,1093290,0
treatment 1,1093477,0
treatment 1,1093722,0
treatment 1,1093877,0
treatment 1,1094539,0
treatment 1,1094745,0
treatment 1,1095185,1
treatment 1,1097874,0
treatment 1,1098327,0
treatment 1,1098789,0
treatment 1,1099073,0
treatment 1,1099470,0
treatment 1,1100809,0
treatment 1,1100923,0
treatment 1,1102272,0
treatment 1,1102379,0
treatment 1,1104531,1
treatment 1,1105162,0
treatment 1,1105444,1
treatment 1,1106435,0
treatment 1,1110405,0
treatment 1,1113373,0
treatment 1,1114652,0
treatment 1,1114810,1
treatment 1,1116261,0
treatment 1,1117295,0
treatment 1,1118444,1
treatment 1,1119154,1
treatment 1,1119723,1
treatment 1,1120194,0
treatment 1,1121364,0
treatment 1,1121581,0
treatment 1,1122408,0
treatment 1,1122536,0
treatment 1,1124527,0
treatment 1,1124563,0
treatment 1,1125774,0
treatment 1,1126700,0
treatment 1,1126755,1
treatment 1,1127196,0
treatment 1,1127467,0
treatment 1,1127571,0
treatment 1,1128131,0
treatment 1,1129414,0
treatment 1,1130271,0
treatment 1,1131460,1
treatment 1,1132448,0
treatment 1,1136712,0
treatment 1,1137938,0
treatment 1,1137944,0
treatment 1,1138732,0
treatment 1,1139617,0
treatment 1,1139738,0
treatment 1,1139883,0
treatment 1,1141295,1
treatment 1,1141621,0
treatment 1,1141948,0
treatment 1,1143847,0
treatment 1,1145250,0
treatment 1,1145464,0
treatment 1,1145586,0
treatment 1,1145798,0
treatment 1,1145901,0
treatment 1,1146469,0
treatment 1,1146656,0
treatment 1,1148203,0
treatment 1,1148238,0
treatment 1,1148292,0
treatment 1,1148652,0
treatment 1,1148973,0
treatment 1,1152335,0
treatment 1,1152493,1
treatment 1,1153035,0
treatment 1,1153306,0
treatment 1,1154183,1
treatment 1,1154940,0
treatment 1,1156992,0
treatment 1,1157988,1
treatment 1,1158276,0
treatment 1,1160723,0
treatment 1,1160799,0
treatment 1,1162291,1
treatment 1,1162399,0
treatment 1,1162543,1
treatment 1,1165638,0
treatment 1,1165811,1
treatment 1,1166971,0
treatment 1,1167142,1
treatment 1,1168169,0
treatment 1,1169995,1
treatment 1,1170539,1
treatment 1,1171422,0
treatment 1,1172403,0
treatment 1,1172649,0
treatment 1,1174024,0
treatment 1,1175551,0
treatment 1,1176334,0
treatment 1,1176730,0
treatment 1,1177284,0
treatment 1,1178282,0
treatment 1,1178666,0
treatment 1,1179770,0
treatment 1,1180376,0
treatment 1,1180615,0
treatment 1,1181107,0
treatment 1,1181117,0
treatment 1,1181729,0
treatment 1,1182137,0
treatment 1,1182242,0
treatment 1,1182726,0
treatment 1,1183456,0
treatment 1,1184727,0
treatment 1,1185790,0
treatment 1,1186633,0
treatment 1,1186824,0
treatment 1,1187522,0
treatment 1,1188193,1
treatment 1,1192795,0
treatment 1,1193340,0
treatment 1,1193795,1
treatment 1,1194389,0
treatment 1,1195089,0
treatment 1,1197390,0
treatment 1,1197923,0
treatment 1,1198628,1
treatment 1,1198986,0
treatment 1,1200596,0
treatment 1,1201226,0
treatment 1,1201548,0
treatment 1,1201872,1
treatment 1,1201920,0
treatment 1,1202149,0
treatment 1,1202339,0
treatment 1,1204936,0
treatment 1,1205559,0
treatment 1,1206616,1
treatment 1,1207530,0
treatment 1,1208755,1
treatment 1,1209153,0
treatment 1,1210829,0
treatment 1,1211422,0
treatment 1,1213560,0
treatment 1,1213901,0
treatment 1,1214192,1
treatment 1,1214300,0
treatment 1,1214566,0
treatment 1,1214957,1
treatment 1,1214974,0
treatment 1,1215270,0
treatment 1,1215758,0
treatment 1,1217196,0
treatment 1,1217277,0
treatment 1,1217285,0
treatment 1,1217805,0
treatment 1,1217953,0
treatment 1,1218536,0
treatment 1,1222147,0
treatment 1,1223898,0
treatment 1,1228098,0
treatment 1,1229319,0
treatment 1,1229347,1
treatment 1,1230192,0
treatment 1,1230282,0
treatment 1,1231348,0
treatment 1,1231670,0
treatment 1,1231688,1
treatment 1,1231703,0
treatment 1,1231992,0
treatment 1,1232756,1
treatment 1,1232977,0
treatment 1,1233857,0
treatment 1,1234635,0
treatment 1,1235455,0
treatment 1,1236108,0
treatment 1,1236210,0
treatment 1,1240645,0
treatment 1,1243978,1
treatment 1,1244096,0
treatment 1,1244808,0
treatment 1,1245291,0
treatment 1,1245493,0
treatment 1,1246138,0
treatment 1,1246186,0
treatment 1,1247068,0
treatment 1,1249789,0
treatment 1,1250566,0
treatment 1,1250834,0
treatment 1,1251182,0
